DATE,AAPL,AMZN,BABA,BAC,BP,BUD,C,CMCSA,CVX,FB,GOOGL,HD,JPM,KO,MSFT,PG,PTR,RDSB,T,TM,V,VZ,WFC,WMT,XOM
2014-09-19,100.959999,331.320007,93.889999,16.950001,46.459999,114.809998,53.48,28.370001,124.800003,77.910004,605.400024,92.339996,61.110001,42.049999,47.52,84.470001,134.509995,82.269997,35.470001,118.760002,54.0625,50.349998,53.360001,76.839996,97.120003
2014-09-22,101.059998,324.5,89.889999,17.030001,46.130001,114.559998,53.040001,27.93,123.489998,76.800003,597.27002,91.889999,60.91,42.220001,47.060001,84.809998,130.710007,82.209999,35.5,119.010002,53.470001,50.18,52.900002,76.309998,96.540001
2014-09-23,102.639999,323.630005,87.169998,17.049999,45.720001,114.0,52.84,27.485001,123.059998,78.290001,591.179993,91.489998,60.939999,41.889999,46.560001,84.440002,130.520004,81.059998,35.259998,118.25,53.115002,49.91,52.099998,75.599998,96.029999
2014-09-24,101.75,328.209991,90.57,17.18,45.509998,114.290001,53.259998,27.43,122.400002,78.540001,598.419983,93.019997,61.630001,42.27,47.080002,85.239998,134.809998,81.150002,35.400002,118.849998,53.602501,50.07,52.130001,77.080002,95.82
2014-09-25,97.870003,321.929993,88.919998,16.85,44.060001,112.529999,51.959999,26.969999,120.68,77.220001,585.25,91.900002,60.150002,41.779999,46.040001,84.330002,133.039993,79.519997,35.080002,117.870003,52.677502,49.610001,51.41,76.120003,94.25
2014-09-26,100.75,323.209991,90.459999,17.030001,44.360001,112.019997,52.490002,27.120001,121.470001,78.790001,587.900024,92.839996,60.560001,42.200001,46.41,84.580002,133.509995,79.82,35.279999,118.650002,52.985001,49.77,51.869999,76.489998,95.43
2014-09-29,100.110001,321.820007,88.75,17.01,44.540001,110.690002,52.049999,27.08,120.550003,79.0,587.809998,92.879997,60.330002,42.25,46.439999,84.440002,129.179993,79.839996,35.23,117.519997,52.732498,49.75,51.689999,76.080002,94.43
2014-09-30,100.75,322.440002,88.849998,17.049999,43.950001,110.849998,51.82,26.889999,119.32,79.040001,588.409973,91.739998,60.240002,42.66,46.360001,83.739998,128.509995,79.120003,35.240002,117.529999,53.342499,49.990002,51.869999,76.470001,94.050003
2014-10-01,99.18,317.459991,86.099998,16.82,43.68,107.75,51.099998,26.465,117.650002,76.550003,579.630005,91.019997,59.77,42.740002,45.900002,83.139999,126.220001,78.360001,34.959999,116.650002,52.502499,49.43,51.259998,76.120003,92.860001
2014-10-02,99.900002,318.410004,87.059998,16.879999,43.16,106.940002,51.25,26.42,117.110001,77.080002,580.880005,92.239998,58.84,42.66,45.759998,83.050003,125.669998,77.169998,34.970001,114.480003,52.43,49.290001,51.400002,76.230003,93.300003
